Tourist ID,Interés,Desde,Lugar Recomendado,Ciudad,País,Rating
5,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
5,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
9,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
9,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
9,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
9,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
29,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
30,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
30,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
30,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
30,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
47,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
51,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
51,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
51,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
51,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
51,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
55,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
61,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
68,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
74,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
74,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
74,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
75,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
75,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
82,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
82,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
103,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
118,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
118,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
118,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
118,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
118,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
118,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
118,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
121,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
121,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
121,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
132,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
132,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
132,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
132,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
133,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
133,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
133,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
133,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
133,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
133,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
135,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
135,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
138,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
138,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
147,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
149,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
149,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
149,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
149,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
149,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
149,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
149,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
149,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
162,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
162,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
162,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
162,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
162,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
162,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
162,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
162,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
167,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
175,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
